,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
39,"Cookeo Mangez bien, mangez sain (Les petits Moulinex/Seb)","['Broché 9,95€€', 'Format Kindle 7,99€€']","4,5",345,https://www.amazon.fr//Cookeo-Mangez-mangez-petits-Moulinex-ebook/dp/B07KT6JG8S/ref=sr_1_89?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-89
40,"Mon Régime Céto Agenda Minceur Keto 60 jours: Cahier minceur KETO | cahier Régime cétogène à Compléter | agenda minceur pour un régime low carb, ... low carb recettes| 128 pages - pour 60 jours","['Broché 7,37€€']","5,0",1,https://www.amazon.fr//R%C3%A9gime-C%C3%A9to-Agenda-Minceur-jours/dp/B088VRJVXZ/ref=sr_1_90?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-90
41,Recettes light inratables !,"['Relié 19,95€€', 'Format Kindle 14,99€€']","4,7",63,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_91?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-91
42,Gâteaux et douceurs à indice glycémique bas,"['Poche 12,00€€', 'Format Kindle 8,40€€']","4,4",324,https://www.amazon.fr//G%C3%A2teaux-douceurs-%C3%A0-IG-bas/dp/2360981994/ref=sr_1_92?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-92
43,Plats light et bons pour la santé,"['Broché 4,99€€']","4,0",66,https://www.amazon.fr//Plats-light-bons-pour-sant%C3%A9/dp/2263154094/ref=sr_1_93?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-93
44,"Glaces, sorbets et desserts légers pour l'été: 20 recettes allégées en sucre, sans lactose et sans gluten","['Broché 4,75€€', 'Format Kindle 2,99€€']","3,6",8,https://www.amazon.fr//Glaces-sorbets-desserts-l%C3%A9gers-pour/dp/1086537483/ref=sr_1_94?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-94
45,Eaux détox,"['Relié 7,99€€', 'Format Kindle 5,99€€']","4,5",185,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_95?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-95
46,4 saisons sans gluten & sans lait. 101 recettes pour se régaler en famille: Apprenez à cuisiner sans gluten et sans lait pour la santé et le plaisir (Recettes santé),"['Format Kindle 9,99€€', 'Broché 14,99€€']","4,0",131,https://www.amazon.fr//saisons-gluten-recettes-r%C3%A9galer-famille-ebook/dp/B00RVWPWDA/ref=sr_1_96?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-96
47,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']",None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_97?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-97
48,Matcha,"['Format Kindle 5,99€€', 'Poche 6,20€€', 'Broché 38,20€€']","4,2",24,https://www.amazon.fr//Matcha-Clea/dp/2842213491/ref=sr_1_98?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-98
49,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99€€']","5,0",1,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQVY7HN/ref=sr_1_99?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-99
50,200 menus équilibrés à moins de 2 euros,"['Broché 5,90€€', 'Format Kindle 3,99€€']","4,1",193,https://www.amazon.fr//200-menus-%C3%A9quilibr%C3%A9s-moins-euros/dp/2263050035/ref=sr_1_100?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-100
51,Le régime DASH,"['Broché 14,90€€']","3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_101_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-101-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
52,Bowlfood Minceur - Mes petites recettes à index glycémiques bas,"['Broché 14,90€€']","3,7",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05498852YZLWFQYRWK03&url=%2FBowlfood-Minceur-petites-recettes-glyc%25C3%25A9miques%2Fdp%2F2359344749%2Fref%3Dsr_1_102_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-102-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
53,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Broché 7,87€€', 'Format Kindle 2,99€€']","3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_103_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-103-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
54,La méthode 10/10 : ce livre fait perdre 10 kg et vivre 10 ans de plus,"['Broché 24,90€€', 'Format Kindle 9,99€€']","3,7",649,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03759771BJ25AE9X5VX7&url=%2Fm%25C3%25A9thode-10-livre-perdre-vivre%2Fdp%2FB01LR5C5B8%2Fref%3Dsr_1_104_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-104-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
55,Mon Agenda minceur: objectif 90 jours journal motivant de suivi de regime 100 pages format pratique A5,"['Broché 6,99€€']","3,0",1,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08406002KUTCSW2IWF9H&url=%2FMon-Agenda-minceur-objectif-motivant%2Fdp%2FB08NTST58K%2Fref%3Dsr_1_105_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-105-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
56,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95€€', 'Format Kindle 3,95€€']","3,7",392,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09823072S7BINM3N0QL3&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-efficacement-programme-connaisseurs%2Fdp%2FB087SN2SSW%2Fref%3Dsr_1_106_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-106-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
57,"LE RÉGIME ANTI-INFLAMMATOIRE: Programme de 10 semaines et plus de 200 recettes de guérison pour lutter contre l'inflammation et renforcer votre système immunitaire, du petit-déjeuner au dîner","['Broché 15,81€€', 'Format Kindle 7,97€€']","3,6",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08841553ELT6Y3AH4S2D&url=%2FR%25C3%2589GIME-ANTI-INFLAMMATOIRE-linflammation-immunitaire-petit-d%25C3%25A9jeuner%2Fdp%2FB08W7SQGCG%2Fref%3Dsr_1_107_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-107-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
58,Agenda minceur 90 jours - mon suivi alimentaire détaillé: v2-1 Cahier régime | 90 jours pour maigrir | carnet regime à compléter sur 90 jours | 21cm x ... broché | planificateur fond gris anthracite,"['Broché 7,99€€']",None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08297751Q8OW6YQJ6ONW&url=%2FAgenda-minceur-jours-alimentaire-planificateur%2Fdp%2FB08C94RKBT%2Fref%3Dsr_1_108_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Brecettes%2Bminceur%26qid%3D1618574877%26sr%3D8-108-spons%26psc%3D1&qualifier=1618574877&id=750204111944448&widgetName=sp_btf
59,Mes petites recettes magiques 100% jus détox,"['Broché 6,00€€', 'Format Kindle 4,99€€', 'Poche 6,00€€']","4,2",392,https://www.amazon.fr//petites-recettes-magiques-100-d%C3%A9tox/dp/B078FFX769/ref=sr_1_97?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-97
60,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95€€', 'Format Kindle 3,95€€']","3,7",392,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-efficacement-programme-connaisseurs/dp/B087SN2SSW/ref=sr_1_98?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-98
61,La Grande Cuisine Minceur,"['Relié 1,76€€', 'Broché 16,00€€', 'Poche 1,48€€']","3,7",46,https://www.amazon.fr//Grande-Cuisine-Minceur-Michel-GU%C3%89RARD/dp/2221112970/ref=sr_1_99?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-99
62,Plats light et bons pour la santé,"['Broché 4,99€€']","4,0",66,https://www.amazon.fr//Plats-light-bons-pour-sant%C3%A9/dp/2263154094/ref=sr_1_100?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-100
63,Superbowls les repas santé & équilibrés,"['Broché 9,95€€']","4,5",305,https://www.amazon.fr//Superbowls-repas-%C3%A9quilibr%C3%A9s-Quitterie-Pasquesoone/dp/2035926513/ref=sr_1_101?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-101
64,"La cuisine à IG bas, c'est bon pour moi !","['Format Kindle 8,99€€', 'Broché 12,90€€']","4,6",266,https://www.amazon.fr//cuisine-bas-cest-bon-pour/dp/2035972493/ref=sr_1_102?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-102
65,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","['Broché 9,40€€']",None,None,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_103?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-103
66,Mieux manger toute l'année - 2020,"['Format Kindle 14,99€€', 'Broché 19,90€€']","4,5",1498,https://www.amazon.fr//Mieux-manger-toute-lann%C3%A9e-2020-ebook/dp/B08465P9C9/ref=sr_1_104?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-104
67,"Agenda Minceur 90 Jours: Journal Alimentaire et d’activité Sportive à Compléter | Cahier de Suivi Régime Mensurations, Poids, Imc, Repas, Sport, Notes.. | Planificateur & Carnet Quotidien pour Femme","['Broché 6,31€€']",None,None,https://www.amazon.fr//Agenda-Minceur-Jours-Mensurations-Planificateur/dp/B091F5QV8H/ref=sr_1_105?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-105
68,Recettes Allégées au Thermomix,"['Format Kindle 4,90€€', 'Broché 9,89€€']",None,None,https://www.amazon.fr//Recettes-All%C3%A9g%C3%A9es-au-Thermomix-Fealty/dp/B0914PW38G/ref=sr_1_106?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-106
69,Recettes: Livre De Recettes: Recettes santés simples et délicieuses,"['Format Kindle 0,00€€', 'Broché 8,37€€']","3,9",201,https://www.amazon.fr//Recettes-Livre-sant%C3%A9s-simples-d%C3%A9licieuses-ebook/dp/B06Y5WV9TR/ref=sr_1_107?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-107
70,Le nouveau Régime IG : Index Glycémique. Maigrir en maîtrisant sa glycémie,"['Broché 16,00€€', 'Format Kindle 10,99€€']","4,4",680,https://www.amazon.fr//nouveau-R%C3%A9gime-IG-Glyc%C3%A9mique-ma%C3%AEtrisant/dp/2916878629/ref=sr_1_109?dchild=1&keywords=livre+recettes+minceur&qid=1618574879&sr=8-109
