,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
58,Simplissime - Les recettes au cuit-vapeur les + faciles du monde,"['Format Kindle 5,49€€', 'Relié 7,95€€']","4,3",397,https://www.amazon.fr//Simplissime-recettes-cuit-vapeur-faciles-monde/dp/2019497859/ref=sr_1_97?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-97
59,L'assiette de bébé: Conseils pratiques et recettes d'une Naturopathe,"['Broché 19,95€€', 'Format Kindle 14,99€€']","4,3",38,https://www.amazon.fr//Lassiette-b%C3%A9b%C3%A9-Conseils-pratiques-Naturopathe/dp/2016258098/ref=sr_1_98?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-98
60,100 recettes gourmandes sans sel,"['Broché 14,00€€', 'Format Kindle 9,49€€']","3,7",16,https://www.amazon.fr//100-recettes-gourmandes-sans-sel/dp/2733913387/ref=sr_1_99?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-99
61,200 menus équilibrés à moins de 2 euros,"['Format Kindle 3,99€€', 'Broché 5,90€€']","4,1",193,https://www.amazon.fr//200-menus-%C3%A9quilibr%C3%A9s-moins-euros/dp/2263050035/ref=sr_1_100?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-100
62,"MES 100 RECETTES HEALTHY - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I","['Broché 9,99€€']","3,8",5,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-compl%C3%A9ter/dp/B08BWCFZDL/ref=sr_1_101?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-101
63,"Jus, la cure détox et minceur","['Broché 15,90€€']","4,0",331,https://www.amazon.fr//Jus-cure-d%C3%A9tox-minceur-Cross/dp/2035905737/ref=sr_1_102?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-102
64,"LE RÉGIME ANTI-INFLAMMATOIRE: Programme de 10 semaines et plus de 200 recettes de guérison pour lutter contre l'inflammation et renforcer votre système immunitaire, du petit-déjeuner au dîner","['Format Kindle 7,97€€', 'Broché 15,81€€']","3,6",15,https://www.amazon.fr//R%C3%89GIME-ANTI-INFLAMMATOIRE-linflammation-immunitaire-petit-d%C3%A9jeuner/dp/B08W7SQGCG/ref=sr_1_103?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-103
65,"MES 100 RECETTES CUISINE RAPIDE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Maigrir I Mincir I Perdre du poid I","['Broché 9,40€€']","1,0",1,https://www.amazon.fr//MES-RECETTES-CUISINE-RAPIDE-MINCEUR/dp/B08BWFVXZL/ref=sr_1_104?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-104
66,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de légumes 2148","['Broché 5,99€€']","4,4",459,https://www.amazon.fr//Mon-planificateur-menus-alimentaire-Couverture/dp/1700812149/ref=sr_1_105?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-105
67,Recettes Allégées au Thermomix,"['Broché 9,89€€', 'Format Kindle 4,90€€']",None,None,https://www.amazon.fr//Recettes-All%C3%A9g%C3%A9es-au-Thermomix-Fealty/dp/B0914PW38G/ref=sr_1_106?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-106
68,Recettes: 25 recettes de cookies faciles et gourmandes (Livre de recettes: biscuits),"['Broché 8,07€€', 'Format Kindle 2,60€€']","2,8",7,https://www.amazon.fr//Recettes-recettes-cookies-gourmandes-biscuits-ebook/dp/B07CNVGCXK/ref=sr_1_107?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-107
69,Petit livre - Recettes minceur,"['Broché 2,99€€']",None,None,https://www.amazon.fr//Petit-livre-Recettes-Catherine-POGGI/dp/2412034303/ref=sr_1_108?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-108
70,Cuisine légère NE - 1001 recettes,"['Relié 9,95€€']","3,9",37,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-NE-1001-recettes/dp/2263149252/ref=sr_1_109?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-109
71,Les secrets de la cuisine à indice glycémique bas,"['Broché 22,00€€']","4,4",214,https://www.amazon.fr//secrets-cuisine-IG-bas-silhouette/dp/2360982435/ref=sr_1_110?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-110
72,Le grand livre de la cuisine japonaise,"['Relié 29,95€€']","4,7",497,https://www.amazon.fr//grand-livre-cuisine-japonaise/dp/231701077X/ref=sr_1_111?dchild=1&keywords=livre+recettes+minceur&qid=1618529737&sr=8-111
