,Titles,Prices,Evaluations,Numbers of evaluators,Urls
70,Plats sains préparés en moins de 10 minutes - super facile,"19,95€","4,3",84,https://www.amazon.fr//Plats-sains-pr%C3%A9par%C3%A9s-moins-minutes/dp/2263159983/ref=sr_1_110?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-110
71,Mangez sain mangez bien avec Cookeo,"9,99€","5,0",1,https://www.amazon.fr//Mangez-sain-mangez-bien-Cookeo/dp/2035955173/ref=sr_1_111?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-111
72,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","7,90€","4,5",185,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQVY7HN/ref=sr_1_112?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-112
73,Le meilleur régime du monde: Le meilleur régime du monde : Dietary Approaches to Stop Hypertension,"7,85€","3,7",403,https://www.amazon.fr//DASH-meilleur-Dietary-Approaches-Hypertension/dp/B011QKRTIS/ref=sr_1_113?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-113
74,Salades complètes les plus faciles du monde (Simplissime),"7,99€","4,5",350,https://www.amazon.fr//Salades-compl%C3%A8tes-faciles-monde-Simplissime-ebook/dp/B07K6WNCP5/ref=sr_1_114?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-114
75,En 2H je cuisine light pour toute la semaine,"7,95€","4,3",112,https://www.amazon.fr//cuisine-light-pour-toute-semaine/dp/2017059757/ref=sr_1_115?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-115
76,"MES 100 RECETTES HEALTHY MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I Amaigrissant I Maigrir I Mincir I Régimes I","5,99€","3,8",7,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-MINCEUR/dp/B08BWGWL65/ref=sr_1_116?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-116
77,Mon cahier forme et minceur après bébé,"4,99€","4,3",45,https://www.amazon.fr//cahier-forme-minceur-apr%C3%A8s-b%C3%A9b%C3%A9/dp/2263154361/ref=sr_1_117?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-117
78,"Mon cahier bowl cake: Répertoire de vos recettes + 100 fiches illustrées et faciles à remplir pour la préparation de vos Bow Cakes  - gourmandise healthy - taille A4 = 21 x 29,7 cm","9,95€","3,6",88,https://www.amazon.fr//Mon-cahier-bowl-cake-pr%C3%A9paration/dp/B0863QDBNY/ref=sr_1_118?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-118
79,Eaux détox,"7,90€","5,0",1,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_119?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-119
80,"Le Régime de la Thyroïde: Comment booster votre énergie, perdre du poids et activer votre métabolisme tout en maintenant l'équilibre hormonal","2,99€","3,4",11,https://www.amazon.fr//R%C3%A9gime-Thyro%C3%AFde-m%C3%A9tabolisme-maintenant-l%C3%A9quilibre/dp/B087637DNL/ref=sr_1_120?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-120
